observation_date,FODSP
2000-01-01,16.645686
2000-04-01,16.755420
2000-07-01,16.873239
2000-10-01,17.069215
2001-01-01,17.166227
2001-04-01,17.422887
2001-07-01,17.307010
2001-10-01,17.785072
2002-01-01,17.449867
2002-04-01,17.289057
2002-07-01,17.277368
2002-10-01,17.205065
2003-01-01,17.204955
2003-04-01,17.105042
2003-07-01,16.875832
2003-10-01,16.962792
2004-01-01,16.964501
2004-04-01,16.883793
2004-07-01,17.031182
2004-10-01,17.024978
2005-01-01,17.488082
2005-04-01,17.500823
2005-07-01,17.537797
2005-10-01,17.523044
2006-01-01,17.494816
2006-04-01,17.549172
2006-07-01,17.697125
2006-10-01,17.816743
2007-01-01,17.833590
2007-04-01,17.881412
2007-07-01,18.022181
2007-10-01,18.157630
2008-01-01,18.063885
2008-04-01,17.608756
2008-07-01,17.766641
2008-10-01,17.772964
2009-01-01,17.745354
2009-04-01,17.405180
2009-07-01,17.337920
2009-10-01,17.021457
2010-01-01,16.708639
2010-04-01,16.315847
2010-07-01,16.122662
2010-10-01,15.962874
2011-01-01,15.720879
2011-04-01,15.635795
2011-07-01,15.516659
2011-10-01,15.431460
2012-01-01,15.221059
2012-04-01,15.131447
2012-07-01,15.280715
2012-10-01,14.879423
2013-01-01,15.468993
2013-04-01,15.374732
2013-07-01,15.336067
2013-10-01,15.375387
2014-01-01,15.279788
2014-04-01,15.190771
2014-07-01,15.151267
2014-10-01,15.072617
2015-01-01,15.088066
2015-04-01,15.119851
2015-07-01,15.187556
2015-10-01,15.140882
2016-01-01,15.109428
2016-04-01,15.223628
2016-07-01,15.259559
2016-10-01,15.176146
2017-01-01,15.047829
2017-04-01,14.962171
2017-07-01,14.929608
2017-10-01,14.906151
2018-01-01,14.815600
2018-04-01,14.748986
2018-07-01,14.710258
2018-10-01,14.713973
2019-01-01,14.662523
2019-04-01,14.734329
2019-07-01,14.743116
2019-10-01,14.712765
2020-01-01,14.609145
2020-04-01,13.251350
2020-07-01,13.671569
2020-10-01,13.963118
2021-01-01,12.429408
2021-04-01,13.592720
2021-07-01,13.863365
2021-10-01,14.014557
2022-01-01,14.305730
2022-04-01,14.348671
2022-07-01,14.351680
2022-10-01,14.397505
2023-01-01,14.123631
2023-04-01,14.109284
2023-07-01,14.198002
